RESOLUTION,ERROR
1700,0.02390687804230844
900,0.041033217497642896
450,0.028237282339028596
650,0.01975874869559928
1850,0.018634764657414947
1500,0.022521990568205728
1100,0.029829553924758778
250,0.01999861359453791
1300,0.018682003544518
1950,0.02030484135385685
750,0.016678407316080387
1400,0.019306303533292223
800,0.025609398660727648
1600,0.03235594566193835
550,0.019801666996478312
150,0.019100109895824342
1200,0.0185746836617415
1000,0.027685197903926838
350,0.018592409642503985
1150,0.01897033254314463
200,0.016402849784199088
1350,0.02222715354418905
1750,0.01986767409156299
950,0.020100377692626265
400,0.017335166351275067
600,0.02040466084902495
1800,0.02165302633321983
1550,0.0266146036311813
100,0.01891524044700421
1250,0.026547700066699296
1050,0.021590822024421433
300,0.015612523538144239
1900,0.02458206018246912
700,0.02101395847435985
1450,0.022877312132216786
850,0.021595300444551678
1650,0.036824745401288744
500,0.01620344661213806
