RESOLUTION,ERROR,ERROR RATE
1700,1663,0.058
900,293,0.036
450,33,0.016
650,112,0.027
1850,2223,0.065
1500,1261,0.056
1100,433,0.036
250,76,0.122
1300,984,0.058
1950,2321,0.061
750,163,0.029
1400,970,0.049
800,227,0.035
1600,1440,0.056
550,59,0.02
150,72,0.32
1200,703,0.049
1000,495,0.05
350,76,0.062
1150,501,0.038
200,1,0.003
1350,743,0.041
1750,1876,0.061
950,417,0.046
400,35,0.022
600,138,0.038
1800,1477,0.046
1550,1238,0.052
100,0,0.0
1250,756,0.048
1050,468,0.042
300,11,0.012
1900,1451,0.04
700,176,0.036
1450,738,0.035
850,288,0.04
1650,1318,0.048
500,90,0.036
