RESOLUTION,ERROR
1700,0.0067408928325640135
900,0.006863413641762871
450,0.006788723845991008
650,0.006695030300207198
1850,0.0067534826424541635
1500,0.006761939571844436
1100,0.006971741218243298
250,0.008230264871463928
1300,0.0066167598935188985
1950,0.0068070551192524285
750,0.006649275794993707
1400,0.006744093988903203
800,0.006585691206719223
1600,0.006638108371981958
550,0.006885842883308528
150,0.008235872537955696
1200,0.006757920491223575
1000,0.0069905737068086185
350,0.007068782331141238
1150,0.006749568479297934
200,0.006620421619552378
1350,0.0068862229508916805
1750,0.006839161752659271
950,0.006656591734655025
400,0.00640691497573395
600,0.00651703442292935
1800,0.006820165934345717
1550,0.0070276105030493835
100,0.01514338572078714
1250,0.006700224298565499
1050,0.006734931559512604
300,0.0068889551608490845
1900,0.007087257690329358
700,0.0065004466242320836
1450,0.006995274364970052
850,0.006704272681146581
1650,0.007097212316010512
500,0.006530146916172697
