RESOLUTION,ERROR
1700,0.016272911654283465
900,0.016210767696956518
450,0.015557963950979362
650,0.015533840250623281
1850,0.016045902029160338
1500,0.01586232656289155
1100,0.016039891092909542
250,0.015498019828394327
1300,0.015754999088450804
1950,0.015890181869433147
750,0.015260224896965493
1400,0.01563977884997158
800,0.01578536855058585
1600,0.015814547122270872
550,0.016024140252095084
150,0.015692791696512255
1200,0.015982900570251323
1000,0.01599504041003268
350,0.015284303111457856
1150,0.015501006455487751
200,0.013624684566048319
1350,0.016314386008645997
1750,0.016053771096841526
950,0.015839803816560985
400,0.01510029800849936
600,0.015213512848316672
1800,0.016370063473113507
1550,0.016196731744247506
100,0.015994574069781876
1250,0.015879816289312253
1050,0.015739110576359745
300,0.015838269561352245
1900,0.016359141499795123
700,0.015607472895612816
1450,0.016465675256242734
850,0.01565015923457483
1650,0.016154000545575982
500,0.015004509961704703
